Brand ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,CrossFireX Support ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,Effective Memory Clock ,Eyefinity Support ,Features ,Form Factor ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Operating Systems Supported ,Package Contents ,Power Connector ,RAMDAC ,Slot Width ,Stream Processors ,System Requirements ,Virtual Reality Ready ,review_numbers
['GIGABYTE'],"['9.21"" x 5.08""']",['AMD'],['WINDFORCE 3X'],['990 MHz (standard: 970 MHz)'],,['1 x Dual-link DVI-I1 x DVI-D'],"['April 14, 2020']",['DirectX 12'],['1 x DisplayPort'],['Yes'],['5700 MHz'],,,['ATX'],['Radeon R9 380'],['AMD Radeon R9 300 Series'],['Yes'],['1 x HDMI'],['PCI Express 3.0'],['Digital: 4096 x 2160Analog: 2048 x 1536'],['256-Bit'],['4GB'],['GDDR5'],['GV-R938G1 GAMING-4GD'],['4'],['OpenGL 4.4'],,,['8-Pin'],,['Dual Slot'],['1792 Stream Processors'],['500W'],,(2)
['VisionTek'],,['AMD'],['Double Fans'],['970 MHz'],['Yes'],['1 DVI-D1 DVI-I'],"['July 03, 2018']",['DirectX 12'],['1 x DisplayPort'],,['1375 MHz x 4 (5.5 Gb/s)'],['Yes'],"[""Advanced GDDR5 Memory Technology: The highest memory bandwidth available today enables higher GPU performance.PCI Express 3.0: Get the maximum performance from your GPU when paired with the latest platforms.DirectX 12: Microsoft's new technology enables great performance and dramatically improved GPU and CPU multiprocessing and multithreading performance - thanks to Async Shaders and Multi-threaded Command Buffer Recording - for more efficient rendering of richer and more complex scenes.AMD Eyefinity Technology: Expand your territory and customize your field of vision. Connect up to four displays on a single GPU for dynamic, panoramic multi-screen gaming. You'll get an expansive experience that's truly out of sight.4K Ultra HD Support: Experience what you've been missing even at 1080P! With support for 3840 x 2160 output via the HDMI port and 4096 x 2160 via the DisplayPort, textures and other detail normally compressed for lower resolutions can now be shown in full pixels per inch of screen definition.AMD Crossfire Technology: Scale up to four GPUs with AMD CrossFire and amplify your system's graphics processing capability.VSR (Virtual Super Resolution): Get quality that rivals 1440p, even on a 1080p display while playing your favorite games thanks to AMD's VSR.AMD LiquidVR Technology: AMD is making VR as comfortable as possible by lowering the motion-to-photo latency. Enhance gaming realism and maintain ultra-immersive VR presence. Enjoy liquid-smooth visual performance and ultra-high frame rates and cross over to the other side of realistic virtual environments and interaction.AMD Freesync Technology: Maintain extreme frame rates while playing the most demanding games, without frame-tearing or video stuttering, using AMD's open-standard dynamic refresh rate technology that automatically synchronizes your GPU output with AMD FreeSync technology-enabled DisplayPort monitors.""]",,['Radeon R9 380'],['AMD Radeon R9 300 Series'],,['1 x HDMI'],['PCI Express 3.0 x16'],,['256-Bit'],['2GB'],['GDDR5'],['401425'],['4'],,"['Linux, Windows 10, Windows 8.1 and Windows 7']",,,,['Dual Slot'],,"['PCI Express based PC is required with one X16 lane graphics slot available on the motherboard500W (or greater) power supply with two 75W 6-pin PCI Express power connector recommended 600W power supply (or greater) with four 75W 6-pin PCI Express power connectors recommended for AMD CrossFire technology in dual modeThe operation of AMD CrossFire technology in dual mode requires a second AMD Radeon R9 380 graphics card and an AMD CrossFire Ready motherboardMinimum 4GB of system memory 8GB (or more) system memory recommended for AMD CrossFire technologyInstallation software requires CD-ROM drive, a keyboard, a mouse, and a display. Latest AMD Catalyst software also available at www.amd.com/catalystDVD playback requires DVD drive and a DVDBlu-ray playback requires Blu-ray drive and a Blu-ray discMinimum recommended system power supply wattage is based on the specific graphics card and the typical power requirements of other system components. Your system may require more or less power. OEM and other pre-assembled PCs may have different power requirements']",['Yes'],0 reviews
['MSI'],"['10.55"" x 5.43""']",['AMD'],['Dual'],['1000 MHz'],['Yes'],['1 x DL-DVI-I1 x DL-DVI-D'],"['April 26, 2018']",['DirectX 12'],['1 x DisplayPort'],['Yes'],['5500 MHz'],['Yes'],"['Next-Gen Thermal Design: Twin Frozr VTorx Fan - Maximizes airflow and dispersion.Super Pipe - Improves dissipation efficiency through special heatpipe layout.Zero Frozr - Fans stop spinning in low load to keep the card quiet and increase lifetime.Airflow Control technology - Deflects airflow towards heatpipes to improve thermal efficiency.Gaming AppEasy Tuning - OC, Gaming and Silent modes adjust Graphics Card settings based on user requirements.Eye Rest - Dedicated color profiles for Gaming, movies and Eye Rest, allow to custom visual related setting what you like.LED control choose - from 5 unique lighting modes to set the right ambience for their gaming moments with just one clickMilitary Class 4 ComponentsCertified to MIL-STD-810G standards for top stability and quality.Built with Hi-c CAP, Solid CAP, and New SFC components.']",['ATX'],['Radeon R9 380'],['AMD Radeon R9 300 Series'],['Yes'],,['PCI Express 3.0'],,['256-Bit'],['2GB'],['GDDR5'],['R9 380 GAMING 2G'],,['OpenGL 4.4'],,['AccessoriesDriver CDInstallation GuideDVI to VGA Dongle: 1'],['2 x 6-Pin'],,,['1792 Stream Processors'],['Power Consumption: 150W'],,(12)
['MSI'],"['10.55"" x 5.43""']",['AMD'],['Dual'],['1000 MHz (OC Mode)980 MHz (Gaming Mode)970 MHz (Silent Mode)'],['Yes'],['1 x DL-DVI-I1 x DL-DVI-D'],"['March 26, 2018']",['DirectX 12'],['1 x DisplayPort 1.2'],['Yes'],['5800 MHz (OC Mode)5700 MHz (Gaming Mode)5700 MHz (Silent Mode)'],['Yes'],"['Next-Gen Thermal Design: Twin Frozr VTorx Fan - Maximizes airflow and dispersion.Super Pipe - Improves dissipation efficiency through special heatpipe layout.Zero Frozr - Fans stop spinning in low load to keep the card quiet and increase lifetime.Airflow Control technology - Deflects airflow towards heatpipes to improve thermal efficiency.Gaming AppEasy Tuning - OC, Gaming and Silent modes adjust Graphics Card settings based on user requirements.Eye Rest - Dedicated color profiles for Gaming, movies and Eye Rest, allow to custom visual related setting what you like.LED control choose - from 5 unique lighting modes to set the right ambience for their gaming moments with just one click.Military Class 4 ComponentsCertified to MIL-STD-810G standards for top stability and quality.Built with Hi-c CAP, Solid CAP, and New SFC components.']",['ATX'],['Radeon R9 380'],['AMD Radeon R9 300 Series'],['Yes'],['1 x HDMI'],['PCI Express 3.0 x16'],['4096 x 2160'],['256-Bit'],['4GB'],['GDDR5'],['R9 380 GAMING 4G'],['3'],['OpenGL 4.4'],,['AccessoriesDriver CDInstallation GuideDVI to VGA Dongle: 1'],['2 x 6-Pin'],,['Dual Slot'],['1792 Stream Processors'],['Power Consumption: 190W'],,(115)
['MSI'],"['10.55"" x 5.43""']",['AMD'],['With Fan'],['970 MHz'],['Yes'],['1 x DL-DVI-I1 x DL-DVI-D'],"['May 28, 2020']",['DirectX 12'],['1 x DisplayPort'],['Yes'],['5700 MHz'],['Yes'],"['Next-Gen Thermal Design: Twin Frozr V- Torx Fan: Maximizes airflow and dispersion.- SuperSU Architecture: Improves dissipation efficiency through special heatpipe layout.- Zero Frozr: Fans stop spinning in low load to keep the card quiet and increase lifetime.- Airflow Control technology: Deflects airflow towards heatpipes to improve thermal efficiency.Gaming App- Easy Tuning - OC, Gaming and Silent modes adjust Graphics Card settings based on user requirements.- Eye Rest: Dedicated color profiles for Gaming, movies and Eye Rest, allow to custom visual related setting what you like.- LED control choose from 5 unique lighting modes to set the right ambience for their gaming moments with just one clickMilitary Class 4 Components- Certified to MIL-STD-810G standards for top stability and quality.- Built with Hi-c CAP, Solid CAP, and New SFC components.']",['ATX'],['Radeon R9 380'],['AMD Radeon R9 300 Series'],['Yes'],['1 x HDMI'],,,['256-Bit'],['4GB'],['GDDR5'],['R9 380 GAMING 4G LE'],,['OpenGL 4.4'],,['Accessories:Driver CDInstallation Guide1 x DVI to VGA Dongle'],['2 x 6-Pin'],,['Dual Slot'],['1792 Stream Processors'],['Power Consumption: 190W'],,(12)
['MSI'],"['10.00"" x 5.04""']",['AMD'],['Dual'],['980 MHz'],['Yes'],['2 x DL-DVI-I'],"['September 20, 2019']",['DirectX 12'],['1 x DisplayPort'],['Yes'],['5500 MHz'],['Yes'],"['Armor 2X Thermal Design:Delivers more airflow than traditional single fan thermal design.Huge heat sink provides better heat dissipation.Military Class 4 Components:Certified to MIL-STD-810G standards for top stability and quality.Built with Hi-c CAP, Solid CAP, and New SFC components.Propeller Blade Technology:Produces 20% more airflow than traditional fan design.Produces less noise than traditional fan designs.MSI Afterburner Overclocking Utility:Monitor fan speed profile.In-game video recording.iOS/Android remote control.Built-in DirectX 12 benchmark.']",['ATX'],['Radeon R9 380'],['AMD Radeon R9 300 Series'],['Yes'],['1 x HDMI'],['PCI Express 3.0 x16'],['4096 x 2160'],['256-Bit'],['2GB'],['GDDR5'],['R9 380 2GD5T OC'],['3'],['OpenGL 4.4'],,['AccessoriesDriver CDInstallation GuideDVI to VGA Dongle: 1'],['2 x 6-Pin'],['400MHz'],['Dual Slot'],['1792 Stream Processors'],['Power Consumption: 150W'],,(8)
['MSI'],"['10.00"" x 5.04""']",['AMD'],['With Fan'],['980 MHz'],['Yes'],['1 x DL-DVI-D1 x DL-DVI-I'],"['March 26, 2018']",['DirectX 12'],['1 x DisplayPort'],['Yes'],['5500 MHz'],['Yes'],"['Armor 2X Thermal Design- Delivers more airflow than traditional single fan thermal design.- Huge heat sink provides better heat dissipation.Propeller Blade Technology- Produces 20% more airflow than traditional fan design.- Produces less noise than traditional fan design.Airflow Control technology- Deflects more airflow to heat pipes and improves airflow efficiency.- Increases the heat sink area to enhance dissipation efficiency.Military Class 4 Components- Certified to MIL-STD-810G standards for top stability and quality.- Built with Hi-c CAP, Solid CAP, and New SFC components.']",['ATX'],['Radeon R9 380'],['AMD Radeon R9 300 Series'],['Yes'],['1 x HDMI'],,,['256-Bit'],['4GB'],['GDDR5'],['R9 380 4GD5T OC'],['Yes'],['OpenGL 4.4'],,['Accessories:Driver CDInstallation Guide1 x DVI to VGA Dongle'],['2 x 6-Pin'],,['Dual Slot'],['1792 Stream Processors'],['Power Consumption: 190WRecommended PSU: 500W'],,(15)
['VisionTek'],,['AMD'],['With Fan'],['970 MHz'],['Yes'],['1 x DVI-D 1 x DVI-I'],"['January 15, 2020']",['DirectX 12'],['1 x DisplayPort'],,['1375MHz x4 (5.5Gb/s)'],['Yes'],"[""Advanced GDDR5 Memory Technology: The highest memory bandwidth available today enables higher GPU performance.PCI Express 3.0: Get the maximum performance from your GPU when paired with the latest platforms.DirectX 12: Microsoft's new technology enables great performance and dramatically improved GPU and CPU multiprocessing and multithreading performance - thanks to Async Shaders and Multi-threaded Command Buffer Recording - for more efficient rendering of richer and more complex scenes.AMD Eyefinity Technology: Expand your territory and customize your field of vision. Connect up to four displays on a single GPU for dynamic, panoramic multi-screen gaming. You'll get an expansive experience that's truly out of sight.4K Ultra HD Support: Experience what you've been missing even at 1080P! With support for 3840 x 2160 output via the HDMI port and 4096 x 2160 via the DisplayPort, textures and other detail normally compressed for lower resolutions can now be shown in full pixels per inch of screen definition.AMD Crossfire Technology: Scale up to four GPUs with AMD CrossFire and amplify your system's graphics processing capability.VSR (Virtual Super Resolution): Get quality that rivals 1440p, even on a 1080p display while playing your favorite games thanks to AMD's VSR.AMD LiquidVR Technology: AMD is making VR as comfortable as possible by lowering the motion-to-photo latency. Enhance gaming realism and maintain ultra-immersive VR presence. Enjoy liquid-smooth visual performance and ultra-high frame rates and cross over to the other side of realistic virtual environments and interaction.AMD Freesync Technology: Maintain extreme frame rates while playing the most demanding games, without frame-tearing or video stuttering, using AMD's open-standard dynamic refresh rate technology that automatically synchronizes your GPU output with AMD FreeSync technology-enabled DisplayPort monitors.""]",,['Radeon R9 380'],,,['1 x HDMI'],['PCI Express 3.0 x16'],,['256-Bit'],['2GB'],['GDDR5'],['900808'],['4'],,"['Linux, Windows 10, Windows 8.1 and Windows 7']",,,,,,"['PCI Express based PC is required with one X16 lane graphics slot available on the motherboard500W (or greater) power supply with two 75W 6-pin PCI Express power connector recommended 600W power supply (or greater) with four 75W 6-pin PCI Express power connectors recommended for AMD CrossFire technology in dual mode.The operation of AMD CrossFire technology in dual mode requires a second AMD Radeon R9 380 graphics card and an AMD CrossFire Ready motherboard.Minimum 4GB of system memory 8GB (or more) system memory recommended for AMD CrossFire technologyInstallation software requires CD-ROM drive, a keyboard, a mouse, and a display. Latest AMD Catalyst software also available at www.amd.com/catalystDVD playback requires DVD drive and a DVDBlu-ray playback requires Blu-ray drive and a Blu-ray discMinimum recommended system power supply wattage is based on the specific graphics card and the typical power requirements of other system components. Your system may require more or less power. OEM and other pre-assembled PCs may have different power requirements.']",,(1)
['GIGABYTE'],,['AMD'],,,,,"['April 15, 2020']",,,,,,,,['Radeon R9 380'],,,,,,,['2GB'],['GDDR5'],,,,,,,,,,,,0 reviews
['MSI'],"['10.55"" x 5.43""']",['AMD'],['Dual'],['1000 MHz'],['Yes'],['1 x DL-DVI-I1 x DL-DVI-D'],"['April 26, 2018']",['DirectX 12'],['1 x DisplayPort'],['Yes'],['5500 MHz'],['Yes'],"['Next-Gen Thermal Design: Twin Frozr VTorx Fan - Maximizes airflow and dispersion.Super Pipe - Improves dissipation efficiency through special heatpipe layout.Zero Frozr - Fans stop spinning in low load to keep the card quiet and increase lifetime.Airflow Control technology - Deflects airflow towards heatpipes to improve thermal efficiency.Gaming AppEasy Tuning - OC, Gaming and Silent modes adjust Graphics Card settings based on user requirements.Eye Rest - Dedicated color profiles for Gaming, movies and Eye Rest, allow to custom visual related setting what you like.LED control choose - from 5 unique lighting modes to set the right ambience for their gaming moments with just one clickMilitary Class 4 ComponentsCertified to MIL-STD-810G standards for top stability and quality.Built with Hi-c CAP, Solid CAP, and New SFC components.']",['ATX'],['Radeon R9 380'],['AMD Radeon R9 300 Series'],['Yes'],,['PCI Express 3.0'],,['256-Bit'],['2GB'],['GDDR5'],['R9 380 GAMING 2G'],,['OpenGL 4.4'],,['AccessoriesDriver CDInstallation GuideDVI to VGA Dongle: 1'],['2 x 6-Pin'],,,['1792 Stream Processors'],['Power Consumption: 150W'],,0 reviews
