brand,model,product_name,price,rating,shipping,url,Brand ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,CrossFireX Support ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,Effective Memory Clock ,Eyefinity Support ,Features ,Form Factor ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Operating Systems Supported ,Package Contents ,Power Connector ,RAMDAC ,Slot Width ,Stream Processors ,System Requirements ,Virtual Reality Ready ,review_numbers,Length (mm),Height (mm)
GIGABYTE,R9 380,GIGABYTE Radeon R9 380 DirectX 12 GV-R938G1 GAMING-4GD 4GB 256-Bit GDDR5 PCI Express 3.0 HDCP Ready ATX Video Card,$289.00 –,5.0,Free Shipping,https://www.newegg.com/gigabyte-radeon-r9-380-gv-r938g1-gaming-4gd/p/N82E16814125930?Description=R9,GIGABYTE,"9.21"" x 5.08""",AMD,WINDFORCE 3X,990 MHz (standard: 970 MHz),NONE,1 x Dual-link DVI-I1 x DVI-D,14-Apr-20,DirectX 12,1 x DisplayPort,Yes,5700 MHz,NONE,NONE,ATX,Radeon R9 380,AMD Radeon R9 300 Series,Yes,1 x HDMI,PCI Express 3.0,Digital: 4096 x 2160Analog: 2048 x 1536,256-Bit,4GB,GDDR5,GV-R938G1 GAMING-4GD,4,OpenGL 4.4,NONE,NONE,8-Pin,NONE,Dual Slot,1792 Stream Processors,500W,NONE,-2,233.934,129.03199999999998
VisionTek,R9 380,VisionTek Radeon R9 380 DirectX 12 401425 2GB 256-Bit GDDR5 PCI Express 3.0 x16 CrossFireX Support Video Card,$269.00 –,,Free Shipping,https://www.newegg.com/visiontek-radeon-r9-380-401425/p/N82E16814129406?Description=R9,VisionTek,NONE,AMD,Double Fans,970 MHz,Yes,1 DVI-D1 DVI-I,3-Jul-18,DirectX 12,1 x DisplayPort,NONE,1375 MHz x 4 (5.5 Gb/s),Yes,"""Advanced GDDR5 Memory Technology: The highest memory bandwidth available today enables higher GPU performance.PCI Express 3.0: Get the maximum performance from your GPU when paired with the latest platforms.DirectX 12: Microsofts new technology enables great performance and dramatically improved GPU and CPU multiprocessing and multithreading performance - thanks to Async Shaders and Multi-threaded Command Buffer Recording - for more efficient rendering of richer and more complex scenes.AMD Eyefinity Technology: Expand your territory and customize your field of vision. Connect up to four displays on a single GPU for dynamic, panoramic multi-screen gaming. Youll get an expansive experience thats truly out of sight.4K Ultra HD Support: Experience what youve been missing even at 1080P! With support for 3840 x 2160 output via the HDMI port and 4096 x 2160 via the DisplayPort, textures and other detail normally compressed for lower resolutions can now be shown in full pixels per inch of screen definition.AMD Crossfire Technology: Scale up to four GPUs with AMD CrossFire and amplify your systems graphics processing capability.VSR (Virtual Super Resolution): Get quality that rivals 1440p, even on a 1080p display while playing your favorite games thanks to AMDs VSR.AMD LiquidVR Technology: AMD is making VR as comfortable as possible by lowering the motion-to-photo latency. Enhance gaming realism and maintain ultra-immersive VR presence. Enjoy liquid-smooth visual performance and ultra-high frame rates and cross over to the other side of realistic virtual environments and interaction.AMD Freesync Technology: Maintain extreme frame rates while playing the most demanding games, without frame-tearing or video stuttering, using AMDs open-standard dynamic refresh rate technology that automatically synchronizes your GPU output with AMD FreeSync technology-enabled DisplayPort monitors.""",NONE,Radeon R9 380,AMD Radeon R9 300 Series,NONE,1 x HDMI,PCI Express 3.0 x16,NONE,256-Bit,2GB,GDDR5,401425,4,NONE,"Linux, Windows 10, Windows 8.1 and Windows 7",NONE,NONE,NONE,Dual Slot,NONE,"PCI Express based PC is required with one X16 lane graphics slot available on the motherboard500W (or greater) power supply with two 75W 6-pin PCI Express power connector recommended 600W power supply (or greater) with four 75W 6-pin PCI Express power connectors recommended for AMD CrossFire technology in dual modeThe operation of AMD CrossFire technology in dual mode requires a second AMD Radeon R9 380 graphics card and an AMD CrossFire Ready motherboardMinimum 4GB of system memory 8GB (or more) system memory recommended for AMD CrossFire technologyInstallation software requires CD-ROM drive, a keyboard, a mouse, and a display. Latest AMD Catalyst software also available at www.amd.com/catalystDVD playback requires DVD drive and a DVDBlu-ray playback requires Blu-ray drive and a Blu-ray discMinimum recommended system power supply wattage is based on the specific graphics card and the typical power requirements of other system components. Your system may require more or less power. OEM and other pre-assembled PCs may have different power requirements",Yes,0 reviews,0.0,0.0
MSI,R9 380,MSI Radeon R9 380 DirectX 12 R9 380 GAMING 2G 2GB 256-Bit GDDR5 PCI Express 3.0 HDCP Ready CrossFireX Support ATX Video Card,$439.00 –,4.0,$4.95 Shipping,https://www.newegg.com/msi-radeon-r9-380-r9-380-gaming-2g/p/N82E16814127876?Description=R9,MSI,"10.55"" x 5.43""",AMD,Dual,1000 MHz,Yes,1 x DL-DVI-I1 x DL-DVI-D,26-Apr-18,DirectX 12,1 x DisplayPort,Yes,5500 MHz,Yes,"Next-Gen Thermal Design: Twin Frozr VTorx Fan - Maximizes airflow and dispersion.Super Pipe - Improves dissipation efficiency through special heatpipe layout.Zero Frozr - Fans stop spinning in low load to keep the card quiet and increase lifetime.Airflow Control technology - Deflects airflow towards heatpipes to improve thermal efficiency.Gaming AppEasy Tuning - OC, Gaming and Silent modes adjust Graphics Card settings based on user requirements.Eye Rest - Dedicated color profiles for Gaming, movies and Eye Rest, allow to custom visual related setting what you like.LED control choose - from 5 unique lighting modes to set the right ambience for their gaming moments with just one clickMilitary Class 4 ComponentsCertified to MIL-STD-810G standards for top stability and quality.Built with Hi-c CAP, Solid CAP, and New SFC components.",ATX,Radeon R9 380,AMD Radeon R9 300 Series,Yes,NONE,PCI Express 3.0,NONE,256-Bit,2GB,GDDR5,R9 380 GAMING 2G,NONE,OpenGL 4.4,NONE,AccessoriesDriver CDInstallation GuideDVI to VGA Dongle: 1,2 x 6-Pin,NONE,NONE,1792 Stream Processors,Power Consumption: 150W,NONE,-12,267.97,137.922
MSI,R9 380,MSI Radeon R9 380 DirectX 12 R9 380 GAMING 4G 4GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready CrossFireX Support ATX Video Card,$399.00 –,4.0,Free Shipping,https://www.newegg.com/msi-radeon-r9-380-r9-380-gaming-4g/p/N82E16814127878?Description=R9,MSI,"10.55"" x 5.43""",AMD,Dual,1000 MHz (OC Mode)980 MHz (Gaming Mode)970 MHz (Silent Mode),Yes,1 x DL-DVI-I1 x DL-DVI-D,26-Mar-18,DirectX 12,1 x DisplayPort 1.2,Yes,5800 MHz (OC Mode)5700 MHz (Gaming Mode)5700 MHz (Silent Mode),Yes,"Next-Gen Thermal Design: Twin Frozr VTorx Fan - Maximizes airflow and dispersion.Super Pipe - Improves dissipation efficiency through special heatpipe layout.Zero Frozr - Fans stop spinning in low load to keep the card quiet and increase lifetime.Airflow Control technology - Deflects airflow towards heatpipes to improve thermal efficiency.Gaming AppEasy Tuning - OC, Gaming and Silent modes adjust Graphics Card settings based on user requirements.Eye Rest - Dedicated color profiles for Gaming, movies and Eye Rest, allow to custom visual related setting what you like.LED control choose - from 5 unique lighting modes to set the right ambience for their gaming moments with just one click.Military Class 4 ComponentsCertified to MIL-STD-810G standards for top stability and quality.Built with Hi-c CAP, Solid CAP, and New SFC components.",ATX,Radeon R9 380,AMD Radeon R9 300 Series,Yes,1 x HDMI,PCI Express 3.0 x16,4096 x 2160,256-Bit,4GB,GDDR5,R9 380 GAMING 4G,3,OpenGL 4.4,NONE,AccessoriesDriver CDInstallation GuideDVI to VGA Dongle: 1,2 x 6-Pin,NONE,Dual Slot,1792 Stream Processors,Power Consumption: 190W,NONE,-115,267.97,137.922
MSI,R9 380,MSI Radeon R9 380 DirectX 12 R9 380 GAMING 4G LE 4GB 256-Bit GDDR5 HDCP Ready CrossFireX Support ATX Video Card,$439.00 (1 Offers)–,4.0,Free Shipping,https://www.newegg.com/msi-radeon-r9-380-r9-380-gaming-4g-le/p/N82E16814127879?Description=R9,MSI,"10.55"" x 5.43""",AMD,With Fan,970 MHz,Yes,1 x DL-DVI-I1 x DL-DVI-D,28-May-20,DirectX 12,1 x DisplayPort,Yes,5700 MHz,Yes,"Next-Gen Thermal Design: Twin Frozr V- Torx Fan: Maximizes airflow and dispersion.- SuperSU Architecture: Improves dissipation efficiency through special heatpipe layout.- Zero Frozr: Fans stop spinning in low load to keep the card quiet and increase lifetime.- Airflow Control technology: Deflects airflow towards heatpipes to improve thermal efficiency.Gaming App- Easy Tuning - OC, Gaming and Silent modes adjust Graphics Card settings based on user requirements.- Eye Rest: Dedicated color profiles for Gaming, movies and Eye Rest, allow to custom visual related setting what you like.- LED control choose from 5 unique lighting modes to set the right ambience for their gaming moments with just one clickMilitary Class 4 Components- Certified to MIL-STD-810G standards for top stability and quality.- Built with Hi-c CAP, Solid CAP, and New SFC components.",ATX,Radeon R9 380,AMD Radeon R9 300 Series,Yes,1 x HDMI,NONE,NONE,256-Bit,4GB,GDDR5,R9 380 GAMING 4G LE,NONE,OpenGL 4.4,NONE,Accessories:Driver CDInstallation Guide1 x DVI to VGA Dongle,2 x 6-Pin,NONE,Dual Slot,1792 Stream Processors,Power Consumption: 190W,NONE,-12,267.97,137.922
MSI,R9 380,MSI Radeon R9 380 DirectX 12 R9 380 2GD5T OC 2GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready CrossFireX Support ATX Video Card,$299.00 –,4.0,Free Shipping,https://www.newegg.com/msi-radeon-r9-380-r9-380-2gd5t-oc/p/N82E16814127880?Description=R9,MSI,"10.00"" x 5.04""",AMD,Dual,980 MHz,Yes,2 x DL-DVI-I,20-Sep-19,DirectX 12,1 x DisplayPort,Yes,5500 MHz,Yes,"Armor 2X Thermal Design:Delivers more airflow than traditional single fan thermal design.Huge heat sink provides better heat dissipation.Military Class 4 Components:Certified to MIL-STD-810G standards for top stability and quality.Built with Hi-c CAP, Solid CAP, and New SFC components.Propeller Blade Technology:Produces 20% more airflow than traditional fan design.Produces less noise than traditional fan designs.MSI Afterburner Overclocking Utility:Monitor fan speed profile.In-game video recording.iOS/Android remote control.Built-in DirectX 12 benchmark.",ATX,Radeon R9 380,AMD Radeon R9 300 Series,Yes,1 x HDMI,PCI Express 3.0 x16,4096 x 2160,256-Bit,2GB,GDDR5,R9 380 2GD5T OC,3,OpenGL 4.4,NONE,AccessoriesDriver CDInstallation GuideDVI to VGA Dongle: 1,2 x 6-Pin,400MHz,Dual Slot,1792 Stream Processors,Power Consumption: 150W,NONE,-8,254.0,128.016
MSI,R9 380,MSI Radeon R9 380 DirectX 12 R9 380 4GD5T OC 4GB 256-Bit GDDR5 HDCP Ready CrossFireX Support ATX Video Card,$399.00 –,4.0,Free Shipping,https://www.newegg.com/msi-radeon-r9-380-r9-380-4gd5t-oc/p/N82E16814127913?Description=R9,MSI,"10.00"" x 5.04""",AMD,With Fan,980 MHz,Yes,1 x DL-DVI-D1 x DL-DVI-I,26-Mar-18,DirectX 12,1 x DisplayPort,Yes,5500 MHz,Yes,"Armor 2X Thermal Design- Delivers more airflow than traditional single fan thermal design.- Huge heat sink provides better heat dissipation.Propeller Blade Technology- Produces 20% more airflow than traditional fan design.- Produces less noise than traditional fan design.Airflow Control technology- Deflects more airflow to heat pipes and improves airflow efficiency.- Increases the heat sink area to enhance dissipation efficiency.Military Class 4 Components- Certified to MIL-STD-810G standards for top stability and quality.- Built with Hi-c CAP, Solid CAP, and New SFC components.",ATX,Radeon R9 380,AMD Radeon R9 300 Series,Yes,1 x HDMI,NONE,NONE,256-Bit,4GB,GDDR5,R9 380 4GD5T OC,Yes,OpenGL 4.4,NONE,Accessories:Driver CDInstallation Guide1 x DVI to VGA Dongle,2 x 6-Pin,NONE,Dual Slot,1792 Stream Processors,Power Consumption: 190WRecommended PSU: 500W,NONE,-15,254.0,128.016
VisionTek,R9 380,"Visiontek Radeon R9 380 2GB GDDR5 4M (DVI-D, DVI-I, DP, HDMI), 900808",$259.00 –,2.0,Free Shipping,https://www.newegg.com/visiontek-radeon-r9-380-900808/p/N82E16814129310?Description=R9,VisionTek,NONE,AMD,With Fan,970 MHz,Yes,1 x DVI-D 1 x DVI-I,15-Jan-20,DirectX 12,1 x DisplayPort,NONE,1375MHz x4 (5.5Gb/s),Yes,"""Advanced GDDR5 Memory Technology: The highest memory bandwidth available today enables higher GPU performance.PCI Express 3.0: Get the maximum performance from your GPU when paired with the latest platforms.DirectX 12: Microsofts new technology enables great performance and dramatically improved GPU and CPU multiprocessing and multithreading performance - thanks to Async Shaders and Multi-threaded Command Buffer Recording - for more efficient rendering of richer and more complex scenes.AMD Eyefinity Technology: Expand your territory and customize your field of vision. Connect up to four displays on a single GPU for dynamic, panoramic multi-screen gaming. Youll get an expansive experience thats truly out of sight.4K Ultra HD Support: Experience what youve been missing even at 1080P! With support for 3840 x 2160 output via the HDMI port and 4096 x 2160 via the DisplayPort, textures and other detail normally compressed for lower resolutions can now be shown in full pixels per inch of screen definition.AMD Crossfire Technology: Scale up to four GPUs with AMD CrossFire and amplify your systems graphics processing capability.VSR (Virtual Super Resolution): Get quality that rivals 1440p, even on a 1080p display while playing your favorite games thanks to AMDs VSR.AMD LiquidVR Technology: AMD is making VR as comfortable as possible by lowering the motion-to-photo latency. Enhance gaming realism and maintain ultra-immersive VR presence. Enjoy liquid-smooth visual performance and ultra-high frame rates and cross over to the other side of realistic virtual environments and interaction.AMD Freesync Technology: Maintain extreme frame rates while playing the most demanding games, without frame-tearing or video stuttering, using AMDs open-standard dynamic refresh rate technology that automatically synchronizes your GPU output with AMD FreeSync technology-enabled DisplayPort monitors.""",NONE,Radeon R9 380,NONE,NONE,1 x HDMI,PCI Express 3.0 x16,NONE,256-Bit,2GB,GDDR5,900808,4,NONE,"Linux, Windows 10, Windows 8.1 and Windows 7",NONE,NONE,NONE,NONE,NONE,"PCI Express based PC is required with one X16 lane graphics slot available on the motherboard500W (or greater) power supply with two 75W 6-pin PCI Express power connector recommended 600W power supply (or greater) with four 75W 6-pin PCI Express power connectors recommended for AMD CrossFire technology in dual mode.The operation of AMD CrossFire technology in dual mode requires a second AMD Radeon R9 380 graphics card and an AMD CrossFire Ready motherboard.Minimum 4GB of system memory 8GB (or more) system memory recommended for AMD CrossFire technologyInstallation software requires CD-ROM drive, a keyboard, a mouse, and a display. Latest AMD Catalyst software also available at www.amd.com/catalystDVD playback requires DVD drive and a DVDBlu-ray playback requires Blu-ray drive and a Blu-ray discMinimum recommended system power supply wattage is based on the specific graphics card and the typical power requirements of other system components. Your system may require more or less power. OEM and other pre-assembled PCs may have different power requirements.",NONE,-1,0.0,0.0
GIGABYTE,R9 380,Gigabyte Radeon R9 380 2GB Windforce GDDR5 GV-R938WF2OC-2GD Video Card GPU,$269.00 –,,Free Shipping,https://www.newegg.com/p/27N-0022-00023?Description=R9,GIGABYTE,NONE,AMD,NONE,NONE,NONE,NONE,15-Apr-20,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Radeon R9 380,NONE,NONE,NONE,NONE,NONE,NONE,2GB,GDDR5,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0 reviews,0.0,0.0
MSI,R9 380,MSI Radeon R9 380 DirectX 12 R9 380 GAMING 2G 2GB 256-Bit GDDR5 PCI Express 3.0 HDCP Ready CrossFireX Support ATX Video Card,$329.00 –,,$4.95 Shipping,https://www.newegg.com/msi-radeon-r9-380-r9-380-gaming-2g/p/27N-0023-000C5?Description=R9,MSI,"10.55"" x 5.43""",AMD,Dual,1000 MHz,Yes,1 x DL-DVI-I1 x DL-DVI-D,26-Apr-18,DirectX 12,1 x DisplayPort,Yes,5500 MHz,Yes,"Next-Gen Thermal Design: Twin Frozr VTorx Fan - Maximizes airflow and dispersion.Super Pipe - Improves dissipation efficiency through special heatpipe layout.Zero Frozr - Fans stop spinning in low load to keep the card quiet and increase lifetime.Airflow Control technology - Deflects airflow towards heatpipes to improve thermal efficiency.Gaming AppEasy Tuning - OC, Gaming and Silent modes adjust Graphics Card settings based on user requirements.Eye Rest - Dedicated color profiles for Gaming, movies and Eye Rest, allow to custom visual related setting what you like.LED control choose - from 5 unique lighting modes to set the right ambience for their gaming moments with just one clickMilitary Class 4 ComponentsCertified to MIL-STD-810G standards for top stability and quality.Built with Hi-c CAP, Solid CAP, and New SFC components.",ATX,Radeon R9 380,AMD Radeon R9 300 Series,Yes,NONE,PCI Express 3.0,NONE,256-Bit,2GB,GDDR5,R9 380 GAMING 2G,NONE,OpenGL 4.4,NONE,AccessoriesDriver CDInstallation GuideDVI to VGA Dongle: 1,2 x 6-Pin,NONE,NONE,1792 Stream Processors,Power Consumption: 150W,NONE,0 reviews,267.97,137.922
